id,year,paper_type,question,part,topic,sub_topic,task,keywords,difficulty,marks,page,pdf,ms_pdf
202425_Final_Q1a,2024/25,Final,1,a,logic,propositional logic,Convert English to propositional logic,"propositional logic,atomic propositions,implication",1,2,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1b,2024/25,Final,1,b,relations,properties,Identify properties of a relation,"reflexive,symmetric,transitive,equivalence relation,antisymmetric",2,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1c,2024/25,Final,1,c,enumeration,n-bit strings,Count n-bit strings with conditions,"enumeration,n-bit strings,weight,inclusion-exclusion",3,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1d,2024/25,Final,1,d,logic,truth tables,Construct truth table and classify proposition,"truth table,tautology,contradiction,satisfiable",2,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q2a,2024/25,Final,2,a,sequences,arithmetic sequences,Analyse arithmetic sequence,"arithmetic progression,common difference,nth term",2,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q2b,2024/25,Final,2,b,graphs,degree sequences,Draw graph from degree sequence,"degree sequence,simple graph",2,2,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3a,2024/25,Final,3,a,functions,inverse functions,Find and verify inverse function,"inverse,bijective,function composition",2,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3b,2024/25,Final,3,b,sequences,geometric sequences,Analyse geometric sequence (pixels),"geometric sequence,common ratio,pixels",3,7,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3c,2024/25,Final,3,c,sequences,summation and product notation,Translate Python code to sigma/product notation,"sigma notation,product notation,Python",3,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3d,2024/25,Final,3,d,sequences,arithmetic sequences,Find nth term of arithmetic progression,"arithmetic progression,nth term",1,3,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4a,2024/25,Final,4,a,collections,set operations,Compute set operations,"union,intersection,complement,set difference,symmetric difference",2,6,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4b,2024/25,Final,4,b,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,power set,combinations",2,4,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4c,2024/25,Final,4,c,logic,logic circuits,Design a logical circuit,"logic circuit,logic gates,AND,OR,NOT",2,5,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4d,2024/25,Final,4,d,functions,code interpretation,Determine what Python function computes,"Python,subset,code interpretation",2,5,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5a,2024/25,Final,5,a,graphs,degree sequences,Draw graph and check if simple,"degree sequence,simple graph",2,2,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5b,2024/25,Final,5,b,functions,injective and surjective,Determine if function is injective/surjective,"injective,surjective,one-to-one,onto",2,4,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5c,2024/25,Final,5,c,functions,composition,Evaluate function compositions,"function composition,Python,evaluate",2,6,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
